IS	551	Sauðárkróki							65.7461	-19.6394	4
IS	560	Varmahlíð							65.553	-19.4461	4
IS	561	Varmahlíð							65.553	-19.4461	4
IS	565	Hofsós							65.899	-19.413	4
IS	566	Hofsós							65.899	-19.413	4
IS	570	Fljótum							66.0541	-19.1277	3
IS	580	Siglufirði							66.152	-18.9082	4
IS	581	Siglufjörður							66.152	-18.9082	4
IS	600	Akureyri							65.6835	-18.0878	4
IS	601	Akureyri							65.6835	-18.0878	4
IS	602	Akureyri							65.6835	-18.0878	4
IS	603	Akureyri							65.6835	-18.0878	4
IS	604	Akureyri							65.6835	-18.0878	4
IS	605	Akureyri							65.6835	-18.0878	4
IS	606	Akureyri							65.6835	-18.0878	4
IS	607	Akureyri							65.6835	-18.0878	4
IS	610	Grenivík							65.951	-18.1749	4
IS	611	Grímsey							66.5394	-18.0135	4
IS	616	Grenivík							65.951	-18.1749	4
IS	620	Dalvík							65.9702	-18.5286	4
IS	621	Dalvík							65.9702	-18.5286	4
IS	625	Ólafsfirði							66.0025	-18.5671	1
IS	626	Ólafsfjörður							66.0672	-18.644	4
IS	630	Hrísey							65.9784	-18.3778	4
IS	640	Húsavík							66.0415	-17.3383	4
IS	641	Húsavík							66.0415	-17.3383	4
IS	645	Fosshólli							66.0415	-17.3383	1
IS	650	Laugum							65.7216	-17.3735	3
IS	660	Mývatni							65.6421	-16.9124	3
IS	670	Kópaskeri							66.3018	-16.4445	4
IS	671	Kópaskeri							66.3018	-16.4445	4
IS	675	Raufarhöfn							66.4543	-15.9511	4
IS	676	Raufarhöfn							66.4543	-15.9511	4
IS	680	Þórshöfn							66.1981	-15.3368	4
IS	681	Þórshöfn							66.1981	-15.3368	4
IS	685	Bakkafirði							66.0377	-14.7931	4
IS	686	Bakkafjörður							66.0377	-14.7931	4
IS	690	Vopnafirði							65.7566	-14.8278	4
IS	691	Vopnafjörður							65.7566	-14.8278	4
IS	700	Egilsstöðum							65.2669	-14.3948	4
IS	701	Egilsstöðum							65.2669	-14.3948	4
IS	710	Seyðisfirði							65.2601	-14.0058	4
